id,title,release_date,poster_path,popularity,overview
1156593,Your Fault,2024-12-26,/1sQA7lfcF9yUyoLYC0e6Zo3jmxE.jpg,42.8241,The love between Noah and Nick seems unwavering despite their parents' attempts to separate them. But his job and her entry into college open up their lives to new relationships that will shake the foundations of both their relationship and the Leister family itself.
533535,Deadpool & Wolverine,2024-07-24,/8cdWjvZQUExUUTzyp4t6EDMubfO.jpg,40.4875,"A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary, Deadpool, behind him. But when his homeworld faces an existential threat, Wade must reluctantly suit-up again with an even more reluctant Wolverine."
259872,Skin. Like. Sun.,2009-10-10,/uCkANtG6ezb7hjRKVudY3PUcbvn.jpg,40.2602,"Real-life young couple Wim and Floor spend an afternoon in the sunwashed rooms of a crumbling home in Belgium. In a unique twist, this artistic erotic documentary is edited in nearly real-time. In the slowness, we get the build, the sweetness, and the sexiness. Forget about fingersnapping fast editing. Slow is where it’s at."
82702,How to Train Your Dragon 2,2014-06-05,/d13Uj86LdbDLrfDoHR5aDOFYyJC.jpg,40.0162,"Five years have passed since Hiccup and Toothless united the dragons and Vikings of Berk. Now, they spend their time charting unmapped territories. During one of their adventures, the pair discover a secret cave that houses hundreds of wild dragons -- and a mysterious dragon rider. Hiccup and Toothless find themselves at the center of a battle to protect Berk from a power-hungry warrior."
1317276,given the Movie: To the Sea,2024-09-20,/2VLnT5JtJ77ErG6GD3c1J628VLp.jpg,38.2757,"Mafuyu doubts his place in the band, but a familiar face could be the spark that brings him back to the stage."
166428,How to Train Your Dragon: The Hidden World,2019-01-03,/xvx4Yhf0DVH8G4LzNISpMfFBDy2.jpg,38.7573,"As Hiccup fulfills his dream of creating a peaceful dragon utopia, Toothless’ discovery of an untamed, elusive mate draws the Night Fury away. When danger mounts at home and Hiccup’s reign as village chief is tested, both dragon and rider must make impossible decisions to save their kind."
736350,Playboy Playmate Workout,1983-01-01,/zNvrtwwOB1imM58d1Y4u3TQxKYW.jpg,38.5633,"Lynda Wiesmeier, Playmate of the Month July 1982, along with other Playmates"
846817,Night,2024-09-07,/wtNHVaiEWwc05Iwzu1gravgvtDo.jpg,38.5227,Night has to trick the mother of the missing child into sleeping to save her soul.
1408248,Squid Game: Fireplace,2024-12-12,/cIIMvxLztRs1MbXH0oqaw3SGV0q.jpg,38.2646,"Come share a toast in the Front Man's lair — but tread carefully, for you’re playing with fire."
744334,The Owner,2023-11-09,/dCe94o81DIYamwyKZ09ISF5MFrw.jpg,38.097,An ordinary man’s life takes an unlikely turn when he saves the life of a high-ranking security officer in an accident.
757725,Shadow Force,2025-05-01,/9LCpHFXZgkqp2AWiYq0mGbfZauk.jpg,35.9055,"Kyrah and Isaac were once the leaders of a multinational special forces group called Shadow Force. They broke the rules by falling in love, and in order to protect their son, they go underground. With a large bounty on their heads, and the vengeful Shadow Force hot on their trail, one family's fight becomes all-out war."
